baby_id,gender,combined_time,date,time,diaper_type
baby_1,male,"10/28/21, 9:45 AM",10/28/21, 9:45 AM,Wet
baby_1,male,"10/27/21, 9:27 AM",10/27/21, 9:27 AM,Wet
baby_1,male,"10/26/21, 9:15 AM",10/26/21, 9:15 AM,Dirty
baby_1,male,"10/25/21, 9:33 AM",10/25/21, 9:33 AM,Wet
baby_1,male,"10/25/21, 7:40 AM",10/25/21, 7:40 AM,Dirty
baby_1,male,"10/21/21, 9:20 AM",10/21/21, 9:20 AM,Dirty
baby_1,male,"10/20/21, 9:00 AM",10/20/21, 9:00 AM,Wet
baby_1,male,"10/20/21, 8:25 AM",10/20/21, 8:25 AM,Dirty
baby_1,male,"10/18/21, 9:47 AM",10/18/21, 9:47 AM,Wet
baby_1,male,"10/14/21, 9:22 AM",10/14/21, 9:22 AM,Dirty
baby_1,male,"10/13/21, 9:45 AM",10/13/21, 9:45 AM,Dirty
baby_1,male,"10/13/21, 7:21 AM",10/13/21, 7:21 AM,Dirty
baby_1,male,"10/12/21, 9:20 AM",10/12/21, 9:20 AM,Dirty
baby_1,male,"10/12/21, 6:58 AM",10/12/21, 6:58 AM,Wet
baby_1,male,"10/11/21, 9:49 AM",10/11/21, 9:49 AM,Dirty
baby_1,male,"10/7/21, 9:43 AM",10/7/21, 9:43 AM,Wet
baby_1,male,"10/6/21, 9:15 AM",10/6/21, 9:15 AM,Wet
baby_1,male,"10/5/21, 9:43 AM",10/5/21, 9:43 AM,Dirty
baby_1,male,"10/4/21, 9:32 AM",10/4/21, 9:32 AM,Dirty
baby_1,male,"10/3/21, 11:35 AM",10/3/21, 11:35 AM,Dirty
baby_1,male,"10/1/21, 5:49 PM",10/1/21, 5:49 PM,Wet
baby_1,male,"9/30/21, 9:45 AM",9/30/21, 9:45 AM,Dirty
baby_1,male,"9/29/21, 9:30 AM",9/29/21, 9:30 AM,Dirty
baby_1,male,"9/28/21, 9:15 AM",9/28/21, 9:15 AM,Dirty
baby_1,male,"9/27/21, 9:56 AM",9/27/21, 9:56 AM,Dirty
baby_1,male,"9/24/21, 9:39 AM",9/24/21, 9:39 AM,Dirty
baby_1,male,"9/24/21, 8:08 AM",9/24/21, 8:08 AM,Dirty
baby_1,male,"9/23/21, 9:26 AM",9/23/21, 9:26 AM,Wet
baby_1,male,"9/22/21, 8:55 AM",9/22/21, 8:55 AM,Wet
baby_1,male,"9/21/21, 8:55 AM",9/21/21, 8:55 AM,Wet
baby_1,male,"9/20/21, 10:10 AM",9/20/21, 10:10 AM,Wet
baby_1,male,"9/16/21, 9:36 AM",9/16/21, 9:36 AM,Dirty
baby_1,male,"9/16/21, 7:40 AM",9/16/21, 7:40 AM,Dirty
baby_1,male,"9/15/21, 9:08 AM",9/15/21, 9:08 AM,Wet
baby_1,male,"9/14/21, 9:03 AM",9/14/21, 9:03 AM,Dirty
baby_1,male,"9/13/21, 9:57 AM",9/13/21, 9:57 AM,Dirty
baby_1,male,"9/11/21, 9:21 AM",9/11/21, 9:21 AM,Dirty
baby_1,male,"9/9/21, 9:00 AM",9/9/21, 9:00 AM,Dirty
baby_1,male,"9/8/21, 11:42 AM",9/8/21, 11:42 AM,Wet
baby_1,male,"9/8/21, 9:00 AM",9/8/21, 9:00 AM,Wet
baby_1,male,"9/7/21, 9:50 AM",9/7/21, 9:50 AM,Dirty
baby_1,male,"9/2/21, 9:04 AM",9/2/21, 9:04 AM,Dirty
baby_1,male,"9/1/21, 9:10 AM",9/1/21, 9:10 AM,Dirty
baby_1,male,"8/26/21, 9:53 AM",8/26/21, 9:53 AM,Wet
baby_1,male,"8/26/21, 7:39 AM",8/26/21, 7:39 AM,Dirty
baby_1,male,"8/25/21, 9:15 AM",8/25/21, 9:15 AM,Wet
baby_1,male,"8/24/21, 9:33 AM",8/24/21, 9:33 AM,Dirty
baby_1,male,"8/24/21, 7:39 AM",8/24/21, 7:39 AM,Wet
baby_1,male,"8/23/21, 9:42 AM",8/23/21, 9:42 AM,Dirty
baby_1,male,"8/19/21, 9:01 AM",8/19/21, 9:01 AM,Wet
baby_1,male,"8/18/21, 12:22 PM",8/18/21, 12:22 PM,Dirty
baby_1,male,"8/17/21, 12:25 PM",8/17/21, 12:25 PM,Dirty
baby_1,male,"8/17/21, 8:30 AM",8/17/21, 8:30 AM,Wet
baby_1,male,"8/16/21, 9:12 AM",8/16/21, 9:12 AM,Dirty
baby_1,male,"8/14/21, 12:10 PM",8/14/21, 12:10 PM,Dirty
baby_1,male,"8/14/21, 8:30 AM",8/14/21, 8:30 AM,Dirty
baby_1,male,"8/13/21, 9:03 AM",8/13/21, 9:03 AM,Dirty
baby_1,male,"8/12/21, 9:06 AM",8/12/21, 9:06 AM,Dirty
baby_1,male,"8/11/21, 1:38 PM",8/11/21, 1:38 PM,Wet
baby_1,male,"8/11/21, 12:34 PM",8/11/21, 12:34 PM,Wet
baby_1,male,"8/11/21, 11:06 AM",8/11/21, 11:06 AM,Wet
baby_1,male,"8/11/21, 11:00 AM",8/11/21, 11:00 AM,Wet
baby_1,male,"8/10/21, 9:14 AM",8/10/21, 9:14 AM,Dirty
baby_1,male,"8/9/21, 9:23 AM",8/9/21, 9:23 AM,Dirty
baby_1,male,"8/9/21, 5:50 AM",8/9/21, 5:50 AM,Dirty
baby_1,male,"8/5/21, 11:15 AM",8/5/21, 11:15 AM,Wet
baby_1,male,"8/2/21, 1:18 PM",8/2/21, 1:18 PM,Dirty
baby_1,male,"8/2/21, 9:12 AM",8/2/21, 9:12 AM,Dirty
baby_1,male,"7/28/21, 9:17 AM",7/28/21, 9:17 AM,Dirty
baby_1,male,"7/26/21, 12:31 PM",7/26/21, 12:31 PM,Dirty
baby_1,male,"7/26/21, 9:30 AM",7/26/21, 9:30 AM,Dirty
baby_1,male,"7/14/21, 9:11 AM",7/14/21, 9:11 AM,Dirty
baby_1,male,"7/13/21, 11:49 AM",7/13/21, 11:49 AM,Wet
baby_1,male,"7/13/21, 9:23 AM",7/13/21, 9:23 AM,Wet
baby_1,male,"7/12/21, 11:45 AM",7/12/21, 11:45 AM,Wet
baby_1,male,"7/8/21, 9:50 AM",7/8/21, 9:50 AM,Dirty
baby_1,male,"7/8/21, 6:42 AM",7/8/21, 6:42 AM,Dirty
baby_1,male,"7/7/21, 9:19 AM",7/7/21, 9:19 AM,Wet
baby_1,male,"7/6/21, 6:00 PM",7/6/21, 6:00 PM,Dirty
baby_1,male,"7/6/21, 11:35 AM",7/6/21, 11:35 AM,Mixed
baby_1,male,"7/2/21, 8:55 AM",7/2/21, 8:55 AM,Dirty
baby_1,male,"7/1/21, 9:00 AM",7/1/21, 9:00 AM,Dirty
baby_1,male,"6/30/21, 9:13 AM",6/30/21, 9:13 AM,Wet
baby_1,male,"6/30/21, 6:35 AM",6/30/21, 6:35 AM,Dirty
baby_1,male,"6/28/21, 9:15 AM",6/28/21, 9:15 AM,Dirty
baby_1,male,"6/24/21, 8:30 AM",6/24/21, 8:30 AM,Wet
baby_1,male,"6/23/21, 12:53 PM",6/23/21, 12:53 PM,Dirty
baby_1,male,"6/23/21, 11:15 AM",6/23/21, 11:15 AM,Dirty
baby_1,male,"6/22/21, 9:00 AM",6/22/21, 9:00 AM,Wet
baby_1,male,"6/22/21, 6:55 AM",6/22/21, 6:55 AM,Dirty
baby_1,male,"6/21/21, 10:51 AM",6/21/21, 10:51 AM,Dirty
baby_1,male,"6/17/21, 12:00 PM",6/17/21, 12:00 PM,Dirty
baby_1,male,"6/17/21, 9:00 AM",6/17/21, 9:00 AM,Wet
baby_1,male,"6/16/21, 8:00 AM",6/16/21, 8:00 AM,Wet
baby_1,male,"6/14/21, 3:36 PM",6/14/21, 3:36 PM,Dirty
baby_1,male,"6/14/21, 10:35 AM",6/14/21, 10:35 AM,Wet
baby_1,male,"6/12/21, 6:15 PM",6/12/21, 6:15 PM,Dirty
baby_1,male,"6/10/21, 8:31 AM",6/10/21, 8:31 AM,Wet
baby_1,male,"6/9/21, 8:30 AM",6/9/21, 8:30 AM,Dirty
baby_1,male,"6/7/21, 12:03 PM",6/7/21, 12:03 PM,Wet
baby_1,male,"6/6/21, 5:38 PM",6/6/21, 5:38 PM,Dirty
baby_1,male,"6/3/21, 5:33 PM",6/3/21, 5:33 PM,Dirty
baby_1,male,"6/3/21, 12:30 PM",6/3/21, 12:30 PM,Dirty
baby_1,male,"6/1/21, 11:00 AM",6/1/21, 11:00 AM,Wet
baby_1,male,"5/30/21, 10:34 AM",5/30/21, 10:34 AM,Dirty
baby_1,male,"5/29/21, 1:10 PM",5/29/21, 1:10 PM,Dirty
baby_1,male,"5/28/21, 5:43 PM",5/28/21, 5:43 PM,Dirty
baby_1,male,"5/27/21, 12:40 PM",5/27/21, 12:40 PM,Dirty
baby_1,male,"5/27/21, 8:45 AM",5/27/21, 8:45 AM,Wet
baby_1,male,"5/26/21, 6:11 PM",5/26/21, 6:11 PM,Dirty
baby_1,male,"5/26/21, 12:41 PM",5/26/21, 12:41 PM,Dirty
baby_1,male,"5/25/21, 5:34 PM",5/25/21, 5:34 PM,Dirty
baby_1,male,"5/25/21, 12:15 PM",5/25/21, 12:15 PM,Wet
baby_1,male,"5/24/21, 12:00 PM",5/24/21, 12:00 PM,Dirty
baby_1,male,"5/23/21, 4:40 PM",5/23/21, 4:40 PM,Dirty
baby_1,male,"5/23/21, 7:33 AM",5/23/21, 7:33 AM,Dirty
baby_1,male,"5/21/21, 5:52 AM",5/21/21, 5:52 AM,Dirty
baby_1,male,"5/20/21, 6:36 AM",5/20/21, 6:36 AM,Dirty
baby_1,male,"5/19/21, 11:04 AM",5/19/21, 11:04 AM,Wet
baby_1,male,"5/19/21, 6:37 AM",5/19/21, 6:37 AM,Dirty
baby_1,male,"5/18/21, 12:10 PM",5/18/21, 12:10 PM,Dirty
baby_1,male,"5/18/21, 10:30 AM",5/18/21, 10:30 AM,Wet
baby_1,male,"5/17/21, 2:49 PM",5/17/21, 2:49 PM,Dirty
baby_1,male,"5/17/21, 11:47 AM",5/17/21, 11:47 AM,Dirty
baby_1,male,"5/15/21, 3:30 PM",5/15/21, 3:30 PM,Dirty
baby_1,male,"5/14/21, 10:42 AM",5/14/21, 10:42 AM,Dirty
baby_1,male,"5/13/21, 5:30 PM",5/13/21, 5:30 PM,Dirty
baby_1,male,"5/12/21, 5:03 PM",5/12/21, 5:03 PM,Dirty
baby_1,male,"5/12/21, 12:15 PM",5/12/21, 12:15 PM,Wet
baby_1,male,"5/11/21, 5:42 PM",5/11/21, 5:42 PM,Dirty
baby_1,male,"5/11/21, 12:15 PM",5/11/21, 12:15 PM,Wet
baby_1,male,"5/11/21, 5:52 AM",5/11/21, 5:52 AM,Dirty
baby_1,male,"5/10/21, 4:46 PM",5/10/21, 4:46 PM,Dirty
baby_1,male,"5/7/21, 5:41 AM",5/7/21, 5:41 AM,Dirty
baby_1,male,"5/6/21, 8:39 AM",5/6/21, 8:39 AM,Wet
baby_1,male,"5/6/21, 5:19 AM",5/6/21, 5:19 AM,Dirty
baby_1,male,"5/5/21, 1:00 PM",5/5/21, 1:00 PM,Wet
baby_1,male,"5/4/21, 3:44 PM",5/4/21, 3:44 PM,Dirty
baby_1,male,"5/3/21, 6:38 PM",5/3/21, 6:38 PM,Dirty
baby_1,male,"5/3/21, 11:02 AM",5/3/21, 11:02 AM,Dirty
baby_1,male,"5/2/21, 3:07 PM",5/2/21, 3:07 PM,Dirty
baby_1,male,"5/1/21, 1:45 PM",5/1/21, 1:45 PM,Wet
baby_1,male,"4/30/21, 7:05 AM",4/30/21, 7:05 AM,Dirty
baby_1,male,"4/28/21, 8:30 AM",4/28/21, 8:30 AM,Wet
baby_1,male,"4/27/21, 6:23 PM",4/27/21, 6:23 PM,Dirty
baby_1,male,"4/27/21, 9:15 AM",4/27/21, 9:15 AM,Dirty
baby_1,male,"4/26/21, 5:25 PM",4/26/21, 5:25 PM,Dirty
baby_1,male,"4/25/21, 12:46 PM",4/25/21, 12:46 PM,Wet
baby_1,male,"4/25/21, 6:56 AM",4/25/21, 6:56 AM,Dirty
baby_1,male,"4/24/21, 5:30 AM",4/24/21, 5:30 AM,Dirty
baby_1,male,"4/22/21, 12:15 PM",4/22/21, 12:15 PM,Dirty
baby_1,male,"4/22/21, 7:30 AM",4/22/21, 7:30 AM,Dirty
baby_1,male,"4/21/21, 8:36 AM",4/21/21, 8:36 AM,Dirty
baby_1,male,"4/20/21, 8:50 AM",4/20/21, 8:50 AM,Dirty
baby_1,male,"4/19/21, 12:10 PM",4/19/21, 12:10 PM,Dirty
baby_1,male,"4/18/21, 3:24 PM",4/18/21, 3:24 PM,Dirty
baby_1,male,"4/16/21, 1:03 PM",4/16/21, 1:03 PM,Dirty
baby_1,male,"4/15/21, 11:52 AM",4/15/21, 11:52 AM,Dirty
baby_1,male,"4/14/21, 12:01 PM",4/14/21, 12:01 PM,Dirty
baby_1,male,"4/13/21, 11:58 AM",4/13/21, 11:58 AM,Wet
baby_1,male,"4/13/21, 7:58 AM",4/13/21, 7:58 AM,Dirty
baby_1,male,"4/12/21, 10:40 AM",4/12/21, 10:40 AM,Wet
baby_1,male,"4/11/21, 7:11 PM",4/11/21, 7:11 PM,Dirty
baby_1,male,"4/11/21, 4:30 PM",4/11/21, 4:30 PM,Dirty
baby_1,male,"4/8/21, 12:00 PM",4/8/21, 12:00 PM,Dirty
baby_1,male,"4/8/21, 6:26 AM",4/8/21, 6:26 AM,Dirty
baby_1,male,"4/7/21, 8:06 AM",4/7/21, 8:06 AM,Wet
baby_1,male,"4/6/21, 10:45 AM",4/6/21, 10:45 AM,Mixed
baby_1,male,"4/5/21, 1:05 PM",4/5/21, 1:05 PM,Dirty
